epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,8811.57,1.02626,0.46378,0.90983,0.88872,0.8772,0.94169,0.61338,1.17609,0.52465,0.99171,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8983.98,1.02193,0.46166,0.90925,0.89049,0.87516,0.94166,0.61373,1.17418,0.52434,0.9906,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9155.96,1.02199,0.46093,0.90819,0.89128,0.87483,0.94182,0.61414,1.17309,0.52432,0.9903,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9328.28,1.01711,0.45836,0.9065,0.89111,0.87406,0.94183,0.61404,1.1742,0.52433,0.99052,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9500.38,1.01547,0.45782,0.90654,0.89087,0.8742,0.94143,0.61308,1.17536,0.52522,0.99092,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9672.75,1.01102,0.45539,0.90503,0.89123,0.87387,0.94121,0.61309,1.17582,0.52502,0.99119,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9845.45,1.00789,0.45443,0.90429,0.89297,0.87195,0.94101,0.61306,1.17551,0.52494,0.9913,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10017.2,1.0053,0.45331,0.90298,0.89252,0.87159,0.94069,0.61258,1.17592,0.52501,0.99161,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10189,1.00415,0.45246,0.9032,0.8926,0.87192,0.94078,0.61244,1.17599,0.52468,0.99176,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10360.6,1.00084,0.45217,0.90172,0.89254,0.87186,0.94104,0.61249,1.17666,0.52453,0.99222,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10542.8,0.99652,0.4497,0.90167,0.8936,0.87143,0.94101,0.61244,1.1773,0.52456,0.99243,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10715.3,0.99382,0.44788,0.89954,0.8922,0.87278,0.94114,0.61226,1.17817,0.52464,0.99261,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10914.5,0.99185,0.4475,0.89972,0.89273,0.87236,0.941,0.61206,1.17838,0.52503,0.99286,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11079,0.9872,0.44495,0.89874,0.89407,0.87082,0.94076,0.61192,1.17891,0.52557,0.9931,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
